# Wave B2 — every frame where (n-1)%3==2, each editing its own n-1 (a KIND-B1 frame).
# frame 3 was rendered in the B pilot and is already in the ledger; 117 rows here.
#
# Each change continues the two-beat arc its A frame and B1 frame started, into a third
# state. `loc` is the location of the base frame, not the nominal scene map — see the
# header of EP01-waveB1-changes.tsv for why.
#
# Same prompt shape as wave B1 (predecessor job_id as the ONE and ONLY medias entry):
#
#   Take the reference image and keep it EXACTLY: same composition, same crop, same
#   camera, same character, same colors, same background, same style. Change ONLY:
#   {change}. Do not redraw or re-stage anything else.
#
# No change here writes letters or numerals — the style formula forbids text, and a
# B edit that asks for a written number gets one rendered into the frame.
#
# frame	base	loc	change
225	224	CAFE	both figures have stepped back from the counter
228	227	CAFE	both figures have walked off toward opposite edges of the frame
231	230	CAFE	THE BARISTA has folded both arms and is facing the menu board
234	233	CAFE	an arrow has been drawn from the boxed mark out to the edge of the board
237	236	LEDGER	both labels have been enlarged to twice their size
240	239	LEDGER	the two cut-away pieces have been stacked one on top of the other
243	242	LEDGER	a small tick has been inked beside the note with the scrap and a cross beside the bare one
246	245	LEDGER	the fist has been lowered out of the bottom of the frame
249	248	LEDGER	a second arrow has been added running back the other way, thin and short
252	251	LEDGER	the arrows have been redrawn converging on a single point at the top right
255	254	BANK	the open vault is now packed full of paper sections
258	257	BANK	a second group of tally marks has been circled beside the first
261	260	BANK	the fanned sheets have been swept back into a single neat pile
264	263	BANK	the single thick arrow has passed through the vault door and out of sight
267	266	BANK	the spilled scraps have all arrived inside the large house's doorway
270	269	HOME	the smallest house at the left end has shrunk to half its height
273	272	HOME	every arrow has been redrawn as a solid black band
276	275	HOME	the scrap has travelled halfway up the slope toward the large end
279	278	HOME	the figure has turned away from the camera, shoulders dropped
282	281	HOME	the spilled scraps have piled up on the ground beneath the pocket
285	284	TOWER	the seam has opened into a narrow gap
288	287	TOWER	every chair in the room has been pulled out from the desk
291	290	TOWER	a small round indicator lamp beside the switch has come on
294	293	TOWER	MARV has turned his back on the slab and is facing the camera
297	296	HOME	the raised card has been turned to show its blank back
300	299	HOME	the card has been picked up off the wallet
303	302	HOME	the dotted line has been closed into a solid heavy ring
306	305	HOME	MARV has laid his other hand flat over the card
309	308	BANK	a small scrap has been posted through a slot in the shut door
312	311	BANK	THE SUIT has lowered the enormous shape to the floor
315	314	HOME	the pen has touched down on the page
318	317	HOME	the notebook has been closed
321	320	HOME	MARV has sat back again, arms at his sides
324	323	HOME	the chair has been moved to the far side of the room
327	326	CAFE	the terminal screen has gone blank
330	329	CAFE	the cup has been pushed to the near edge of the counter
333	332	CAFE	every fixture in the cafe has separated slightly along its outlines
336	335	CAFE	MARV has raised the cup to just below his chin
339	338	HOME	the scrap has sunk out of sight beneath the surface
342	341	HOME	the scrap has been laid down flat beside the mug
345	344	HOME	the dotted outline has been shaded in to show the difference
348	347	LEDGER	the short dash has been rubbed out, leaving the plane empty
351	350	LEDGER	the gap between the two marks has widened, stretching the bracket
354	353	LEDGER	MARV has dropped his arm and is looking straight at the camera
