# frame	loc	refs	shot	beat
262	BANK	SUIT,TWENTY	MEDIUM/lateral	arrows converging on the vault door from off-frame in every direction
265	BANK	TWENTY	WIDE/high	an overflowing mailbox of paper scraps beside one very large house shape
268	HOME	MARV	WIDE/eye	a row of house shapes ascending in size from left to right across the frame
271	HOME	MARV	MEDIUM/lateral	arrows flowing uphill along the row of houses from the small end to the large end
274	HOME	MARV	CU/high	the smallest house at the bottom of the slope, alone
277	HOME	MARV,TWENTY	MEDIUM/eye	one figure at the low end of the slope with a scrap leaving its pocket
280	HOME	MARV,TWENTY	CU/macro	the same scrap arriving in an already full pocket at the high end
283	TOWER	none	WIDE/low	the black slab standing alone, no doors and no windows anywhere on it
286	TOWER	none	MEDIUM/lateral	an empty control room with every chair pushed neatly in
289	TOWER	none	CU/macro	one unmarked switch on a blank panel
292	TOWER	MARV	MEDIUM/eye	MARV standing at the base of the slab with his hands in his pockets
295	HOME	MARV,TWENTY	MEDIUM/eye	MARV at the low table with a folded banknote in one hand and a card in the other
298	HOME	MARV,TWENTY	CU/macro	the banknote being put back into the wallet, the card kept out
301	HOME	MARV,TERMINAL	WIDE/high	two queues seen from above, identical in every way
304	HOME	MARV	MEDIUM/lateral	MARV sitting back on the sofa holding only the card
307	BANK	SUIT	WIDE/low	the vault with a second smaller door beside it, standing open
310	BANK	SUIT,MARV	MEDIUM/eye	THE SUIT holding up two shapes, one tiny and one enormous, like a magic trick
313	HOME	MARV	MEDIUM/eye	MARV at the low table opening a plain notebook
316	HOME	MARV	CU/high	a pen writing a single short line across the notebook page
319	HOME	MARV	WIDE/lateral	the living room with the lamp on and one empty chair facing MARV
322	HOME	MARV	MEDIUM/low	the empty chair alone, held a beat longer than comfortable
325	CAFE	MARV,TERMINAL	MEDIUM/eye	MARV's thumb on the card terminal again, exactly as at the start
328	CAFE	CUP	CU/macro	the coffee cup being set down on the counter
331	CAFE	MARV,CUP	WIDE/low	the whole cafe with every fixture faintly outlined in dotted cut-lines
334	CAFE	MARV,CUP	MEDIUM/lateral	MARV looking at the cup differently, head tilted
337	HOME	MARV,CUP	CU/macro	a small damp paper scrap floating in the coffee inside the mug
340	HOME	MARV,CUP	MEDIUM/eye	MARV fishing the scrap out of the mug with two noodle fingers
343	HOME	MARV	CU/high	the scrap laid on the low table, visibly smaller than when it left
346	LEDGER	TWENTY	WIDE/overhead	one thin sliver alone in the centre of the empty ruled plane
349	LEDGER	none	CU/macro	two marks inked far apart on the ruled paper with a wide gap between them
352	LEDGER	MARV	MEDIUM/eye	MARV looking up at the gap between the two marks
355	LEDGER	none	WIDE/high	the ruled plane emptying until only the thin red margin line remains
